MAJOR,COLLEGE,COURSE 4-DIGIT CODES
Accounting,CBA,ACCT  
Actuarial Science (ASC),ASC,ACTS
Actuarial Science (CBA),CBA,ACTS
Advertising & Public Relations,JMC,"JOUR, ADPR"
Aerospace Studies,ASC,AERO
Agribusiness (CASNR),CASNR,ABUS
Agribusiness (CBA),CBA,NO COURSE TAB
Agricultural Economics,ANR,AECN
Agricultural Education,ANR,ALEC
Agricultural Engineering,ENG,AGEN
Agricultural Journalism,ANR,NO COURSE TAB
Agronomy,ANR,"AGRO, HORT, TLMT"
Animal Science,ANR, ASCI
Anthropology,ASC, ANTH
Architecture,ARH, ARCH
Art,FPA,"ARTP, CERM, DRAW, GRPH, PANT,PHOT,PRNT,SCLP,ARTS,WATC,AHIS"
Art History,FPA,AHIS
Art (K-12),EHS,"EDPS, TEAC "
Athletic Training Education,EHS, ATHT
Biochemistry (ASC),ASC, BIOC
Biochemistry (CASNR),CASNR,BIOC
Biological Sciences,ASC, BIOS
Biological Systems Engineering,ENG,BSEN
Biology (7-12),EHS," EDPS, TEAC "
Broadcasting,JMC," JOUR, BRDC "
Business Administration,CBA,"ACCT, ACTS, BLAW, BSAD,ECON,ENTR, FINA, MIST, MNGT,MRKT "
Business Education/Cooperative Education,EHS,"  EDPS, TEAC "
Chemical Engineering,ENG,CHME
Chemistry,ASC, CHEM
Chemistry (7-12),ENG," EDPS, TEAC "
Child Development/Early Childhood Education,EHS, CYAF 
"Child, Youth & Family Studies/Journalism & Mass Communications",EHS, CYAF 
Civil Engineering,ENG,CIVE
Classical Languages,ASC,"ARAB,LATN, GREK, CLAS, HEBR"
Classics & Religious Studies,ASC," CLAS,GREK,HEBR,LATN,RELG"
Communication Studies,ASC,COMM  
Community & Regional Planning Minor,ASC,CRPL
Computer Engineering (Lincoln),ENG,CSCE
Computer Science,ASC,  CSCE
Construction Engineering,ENG,CONE
Construction Management,ENG,CNST
Criminology & Criminal Justice,PAC, CRIM,
Culinary Science,EHS,NUTR
Czech Minor,ASC,CZEC
Dance,FPA, DANC
Dietetics,EHS, NUTR
Dietetics/Journalism and Mass Communications,EHS, NUTR
Early Care & Education (Birth-K),EHS,CYAF 
Earth Science (7-12),EHS,"  EDPS, TEAC "
Economics (ASC),ASC, ECON
Economics (CBA),CBA, ECON
Economics and History (7-12),EHS," EDPS, TEAC "
Electrical Engineering,ENG,ELEC
Elementary Education (K-6),EHS," EDPS, TEAC "
Elementary Education/Art (K-6),EHS," EDPS, TEAC "
Elementary Education/Early Childhood (Birth-Grade 6),EHS," EDPS, TEAC "
Elementary Education (K-6) & Deaf or Hard of Hearing (Pre-Professional),EHS," EDPS, TEAC "
Elementary Education & Mild Moderate Disabilities (K-6),EHS," EDPS, TEAC "
Engineering Mechanics,ENGR,ENGM
Engineering Mechanics Minor,ENGR,ENGM
English,ASC, ENGL
English (7-12),EHS," EDPS, TEAC "
Enviromental Restoration Science,ANR,NO COURSE TAB
Environmental Studies (CASNR),CASNR, ENVR
Environmental Studies (ASC),ASC, ENVR
Ethnic Studies,ASC, ETHN  
European Studies,ASC,EURO
