ABUS,Agribusiness
ACCT,Accounting
ACTS,Actuarial Science
ADPR,Advertising & Public Relations
AECN,Agricultural Economics
AERO,Aerospace
AGEN,Agricultural Engineering
AGRI,Agricultural Sciences
AGRO,Agronomy
AHIS,Art History & Criticism
ALEC,'Agricultural Leadership, Education & Communication'
ANTH,Anthropology
ARAB,Arabic
ARCH,Architecture
AREN,Architectural Engineering (College of Engineering)
ARTP,Art Theory & Practice
ARTS,Art-Special Topics
ASCI,Animal Science
ASTR,Astronomy
ATHC,Athletic Coaching
ATHP,Athletic Practice Courses
ATHT,Athletic Training
BIME,Biomedical Engineering
BIOC,Biological Chemistry
BIOS,Biological Sciences
BLAW,Business Law
BRDC,Broadcasting
BSAD,Business Administration
BSEN,Biological Systems Engineering
CDEV,Community Development
CEEN,Computing & Electronics Engineering (UNO)
CEHS,Education & Human Sciences
CERM,Art-Ceramics
CHEM,Chemistry
CHIN,Chinese
CHME,Chemical & Biomolecular Engineering
CIVE,Civil Engineering
CLAS,Classics
CNST,Construction Management
COMB,Combatives (Rec)
COMM,Communication Studies
CONE,Construction Engineering (UNO/UNK)
CRIM,Criminology & Criminal Justice (UNO)
CRPL,Community & Regional Planning
CSCE,Computer Science & Computer Engineering
CYAF,'Child, Youth and Family Studies'
CZEC,Czech
DANC,Dance
DRAW,Art-Drawing
EAEP,Engler Agribusiness Entrepreneurship
ECON,Economics
EDAD,Educational Administration
EDPS,Educational Psychology
EDUC,Education
ELEC,Electrical Engineering
ENGL,English
ENGM,Engineering Mechanics
ENGR,Engineering
ENSC,Energy Science
ENTO,Entomology
ENTR,Entrepreneurship
ENVE,Environmental Engineering
ENVR,Environmental Studies
ETHN,Ethnic Studies
EURO,European Studies
FDST,Food Science & Technology
FINA,Finance
FITN,Fitness (Rec)
FORS,Forensic Science
FPT,Fire Protection
FREN,French
GEOG,Geography
GEOL,Geology
GEOS,Geosciences
GERM,German
GERO,Gerontology (UNO)
GLST,Global Studies
GPSP,Great Plains Studies Program
GRAS,Grassland Studies
GRBA,Graduate Business Administration
GRDC,Graduate Studies
GREK,Greek
GRPH,Art-Graphic Design & Illustration
GSST,Global Securities Studies
HEBR,Hebrew
HIST,History
HMED,Humanities in Medicine
HORT,Horticulture
HRHA,Human Rights & Humanitarian Affairs
HRTM,'Hospitality, Restaurant & Tourism Management'
HUMS,Human Sciences
IBMS,Integrative Biomedical Science
IDES,Interior Design
IMSE,Industrial & Management Systems Engineering
INDV,Individual & Dual Activity (Rec)
JAPN,Japanese
JGEN,Journalism-General
JGRD,Journalism Graduate Courses
JOMC,Journalism-New Core
JOUR,Journalism-Core
JUDS,Judaic Studies Program
LAMS,Latin American Studies
LARC,Landscape Architecture (College of Architecture)
LATN,Latin
LAW,Law
LIBR,Library
LIFE,Life Sciences
MATH,Mathematics
MATL,Materials Engineering
MECH,Mechanical Engineering
METR,Meteorology/Climatology
MIST,Management Information Systems & Technology
MLSC,Military Science
MNGT,Management
MODL,Modern Language
MRKT,Marketing
MRST,Medieval & Renaissance Studies
MSYM,Mechanized Systems Management
MUAP,Music-Applied
MUCO,Music Ensemble-Credit Only
MUCP,Music-Composition
MUDC,Music Ensemble-Degree Credit
MUED,Music Education
MUEN,Music Ensemble
MUNM,Music for Non-Majors
MUOP,Music-Opera
MUSC,Music
MUSR,Music-Student Recitals
NAVS,Naval Science
NEWS,News-Editorial
NREE,Natural Resources & Environmental Economics
NRES,Natural Resources
NURS,Nursing
NUTR,Nutrition & Health Sciences
ODED,Outdoor Education (Rec)
PANT,Art-Painting
PGAM,Professional Golf Management Program
PHIL,Philosophy
PHOT,Art-Photography
PHYS,Physics
PLPT,Plant Pathology
POLS,Political Science
PRNT,Art-Printmaking
PSYC,Psychology
RACS,Racquet Sports (Rec)
RAIK,Jeffrey S. Raikes School of Computer Science & Management
RELG,Religious Studies Program
RNGE,Rangeland Ecosystems
RUSS,Russian
SCLP,Art-Sculpture
SCMS,Supply Chain Management Systems
SLPA,Speech-Language Pathology & Audiology
SOCI,Sociology
SOCW,Social Work (UNO)
SOIL,Soil Science
SPAN,Spanish
SPED,Special Education
SRAM,Survey Research & Methodology
STAT,Statistics
TEAC,'Teaching, Learning & Teacher Education'
THEA,Theatre Arts
TLMT,Turfgrass & Landscape Management
TMFD,'Textiles, Merchandising & Fashion Design'
UHON,University Honors Program
VBMS,Veterinary & Biomedical Sciences
VMED,Veterinary Medicine
WATC,Art-Watercolor
WATS,Water Science
WMNS,Women & Gender Studies Program
